timestamp;sensor_name;sensor_type;msg
1704063600000;K_CAMERA;Camera;{'timestamp': 1704063600000, 'file': '/train/split1/split1_365.png'}
1704063600000;K_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 20.0, 'humidity': 32.696583950279106}
1704063600000;LR_CAMERA;Camera;{'timestamp': 1704063600000, 'file': '/train/split10/split10_320.png'}
1704063600000;LR_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 20.74699841868747, 'humidity': 45.39523119705036}
1704063600000;BATH_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 20.0, 'humidity': 40.37431614272325}
1704063600000;B_DHT;Temperature;{'timestamp': 1704063600000, 'temperature': 22.0, 'humidity': 40.2924099960549}
1704064800000;K_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 21.448426107609198, 'humidity': 39.05831918687521}
1704064800000;LR_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 20.561875387375935, 'humidity': 38.5886002008744}
1704064800000;BATH_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 20.706788559372452, 'humidity': 52.57750763150108}
1704064800000;B_DHT;Temperature;{'timestamp': 1704064800000, 'temperature': 21.031307519053712, 'humidity': 44.75493959683986}
1704066000000;K_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 22.0, 'humidity': 35.283034513483386}
1704066000000;LR_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 21.0, 'humidity': 46.07739862597899}
1704066000000;BATH_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 22.0, 'humidity': 47.551620856350326}
1704066000000;B_DHT;Temperature;{'timestamp': 1704066000000, 'temperature': 20.096834005567587, 'humidity': 41.63295843599368}
1704066300000;LR_CAMERA;Camera;{'timestamp': 1704066300000, 'file': '/train/split3/split3_402.png'}
1704067200000;K_CAMERA;Camera;{'timestamp': 1704067200000, 'file': '/train/split2/split2_535.png'}
1704067200000;K_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 21.49753063418471, 'humidity': 33.35399246060584}
1704067200000;LR_CAMERA;Camera;{'timestamp': 1704067200000, 'file': '/train/split10/split10_155.png'}
1704067200000;LR_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 19.7234280444602, 'humidity': 37.39705667404057}
1704067200000;BATH_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 21.933338998047837, 'humidity': 48.63574765282668}
1704067200000;B_DHT;Temperature;{'timestamp': 1704067200000, 'temperature': 21.319504636556843, 'humidity': 58.60038173097145}
1704068400000;K_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 20.949542842275374, 'humidity': 30.013907779687862}
1704068400000;LR_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 19.294234711780398, 'humidity': 31.739096250588368}
1704068400000;BATH_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 22.0, 'humidity': 51.65801428856151}
1704068400000;B_DHT;Temperature;{'timestamp': 1704068400000, 'temperature': 20.0, 'humidity': 56.1084702018619}
1704069600000;K_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 20.452833550921522, 'humidity': 39.61691895026341}
1704069600000;LR_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 20.45418339617434, 'humidity': 45.484102764218676}
1704069600000;BATH_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 21.323007291032166, 'humidity': 56.10365517358926}
1704069600000;B_DHT;Temperature;{'timestamp': 1704069600000, 'temperature': 22.0, 'humidity': 50.01010262455635}
1704069900000;LR_CAMERA;Camera;{'timestamp': 1704069900000, 'file': '/train/split3/split3_002.png'}
1704070800000;K_CAMERA;Camera;{'timestamp': 1704070800000, 'file': '/train/split2/split2_121.png'}
1704070800000;K_DHT;Temperature;{'timestamp': 1704070800000, 'temperature': 21.05359909540477, 'humidity': 37.330473990071376}
1704070800000;LR_CAMERA;Camera;{'timestamp': 1704070800000, 'file': '/train/split3/split3_462.png'}
1704070800000;LR_DHT;Temperature;{'timestamp': 1704070800000, 'temperature': 20.849542528300223, 'humidity': 33.959604116048816}
1704070800000;BATH_DHT;Temperature;{'timestamp': 1704070800000, 'temperature': 22.0, 'humidity': 54.12279069860574}
1704070800000;B_DHT;Temperature;{'timestamp': 1704070800000, 'temperature': 21.043851474581338, 'humidity': 56.7374573860344}
1704072000000;K_DHT;Temperature;{'timestamp': 1704072000000, 'temperature': 20.0, 'humidity': 32.82001841134891}
1704072000000;LR_DHT;Temperature;{'timestamp': 1704072000000, 'temperature': 20.19589810606455, 'humidity': 34.98460662518378}
1704072000000;BATH_DHT;Temperature;{'timestamp': 1704072000000, 'temperature': 20.0, 'humidity': 59.94185886977513}
1704072000000;B_DHT;Temperature;{'timestamp': 1704072000000, 'temperature': 20.0, 'humidity': 48.476927608495956}
1704073200000;K_DHT;Temperature;{'timestamp': 1704073200000, 'temperature': 20.151009181867845, 'humidity': 30.0}
1704073200000;LR_DHT;Temperature;{'timestamp': 1704073200000, 'temperature': 20.975798331284686, 'humidity': 39.1710487619991}
1704073200000;BATH_DHT;Temperature;{'timestamp': 1704073200000, 'temperature': 22.0, 'humidity': 54.17756413868628}
1704073200000;B_DHT;Temperature;{'timestamp': 1704073200000, 'temperature': 20.0, 'humidity': 40.0}
1704073500000;LR_CAMERA;Camera;{'timestamp': 1704073500000, 'file': '/train/split10/split10_198.png'}
1704074400000;K_CAMERA;Camera;{'timestamp': 1704074400000, 'file': '/train/split1/split1_660.png'}
1704074400000;K_DHT;Temperature;{'timestamp': 1704074400000, 'temperature': 21.935168836723705, 'humidity': 30.0}
1704074400000;LR_CAMERA;Camera;{'timestamp': 1704074400000, 'file': '/train/split3/split3_605.png'}
1704074400000;LR_DHT;Temperature;{'timestamp': 1704074400000, 'temperature': 20.33021644651328, 'humidity': 40.619000308414186}
1704074400000;BATH_DHT;Temperature;{'timestamp': 1704074400000, 'temperature': 20.0, 'humidity': 41.719063174601224}
1704074400000;B_DHT;Temperature;{'timestamp': 1704074400000, 'temperature': 20.20780668846823, 'humidity': 51.54196023780389}
1704075600000;K_DHT;Temperature;{'timestamp': 1704075600000, 'temperature': 20.0, 'humidity': 31.46404039785397}
1704075600000;LR_DHT;Temperature;{'timestamp': 1704075600000, 'temperature': 21.0, 'humidity': 32.02742730295716}
1704075600000;BATH_DHT;Temperature;{'timestamp': 1704075600000, 'temperature': 21.46251148053073, 'humidity': 60.0}
1704075600000;B_DHT;Temperature;{'timestamp': 1704075600000, 'temperature': 20.04114556990045, 'humidity': 57.794010560009724}
1704076800000;K_DHT;Temperature;{'timestamp': 1704076800000, 'temperature': 20.13951767216223, 'humidity': 30.74567885844595}
1704076800000;LR_DHT;Temperature;{'timestamp': 1704076800000, 'temperature': 21.0, 'humidity': 47.645470282120534}
1704076800000;BATH_DHT;Temperature;{'timestamp': 1704076800000, 'temperature': 20.0, 'humidity': 56.374910738404196}
1704076800000;B_DHT;Temperature;{'timestamp': 1704076800000, 'temperature': 21.066164775092133, 'humidity': 40.0}
1704077100000;LR_CAMERA;Camera;{'timestamp': 1704077100000, 'file': '/train/split10/split10_121.png'}
1704078000000;K_CAMERA;Camera;{'timestamp': 1704078000000, 'file': '/train/split1/split1_554.png'}
1704078000000;K_DHT;Temperature;{'timestamp': 1704078000000, 'temperature': 20.671301254515445, 'humidity': 39.03203123096719}
1704078000000;LR_CAMERA;Camera;{'timestamp': 1704078000000, 'file': '/train/split3/split3_266.png'}
1704078000000;LR_DHT;Temperature;{'timestamp': 1704078000000, 'temperature': 20.247199067619515, 'humidity': 41.21794418834186}
1704078000000;BATH_DHT;Temperature;{'timestamp': 1704078000000, 'temperature': 21.341726902874946, 'humidity': 46.62430627773244}
1704078000000;B_DHT;Temperature;{'timestamp': 1704078000000, 'temperature': 22.0, 'humidity': 45.84501469105293}
1704079200000;K_DHT;Temperature;{'timestamp': 1704079200000, 'temperature': 20.413095585360974, 'humidity': 40.0}
1704079200000;LR_DHT;Temperature;{'timestamp': 1704079200000, 'temperature': 21.0, 'humidity': 49.5835332524347}
1704079200000;BATH_DHT;Temperature;{'timestamp': 1704079200000, 'temperature': 21.388188104309325, 'humidity': 46.401466975324475}
1704079200000;B_DHT;Temperature;{'timestamp': 1704079200000, 'temperature': 20.0, 'humidity': 56.35657293409896}
1704080400000;K_DHT;Temperature;{'timestamp': 1704080400000, 'temperature': 20.989361602795416, 'humidity': 30.270290267790834}
1704080400000;LR_DHT;Temperature;{'timestamp': 1704080400000, 'temperature': 19.69823771442502, 'humidity': 31.419514190159124}
1704080400000;BATH_DHT;Temperature;{'timestamp': 1704080400000, 'temperature': 22.0, 'humidity': 51.284152548094916}
1704080400000;B_DHT;Temperature;{'timestamp': 1704080400000, 'temperature': 20.0, 'humidity': 48.469234130233254}
1704080700000;LR_CAMERA;Camera;{'timestamp': 1704080700000, 'file': '/train/split10/split10_097.png'}
1704081600000;K_CAMERA;Camera;{'timestamp': 1704081600000, 'file': '/train/split2/split2_471.png'}
1704081600000;K_DHT;Temperature;{'timestamp': 1704081600000, 'temperature': 20.585631484067367, 'humidity': 30.261047247720718}
1704081600000;LR_CAMERA;Camera;{'timestamp': 1704081600000, 'file': '/train/split3/split3_355.png'}
1704081600000;LR_DHT;Temperature;{'timestamp': 1704081600000, 'temperature': 19.573003609602992, 'humidity': 31.141060578968037}
1704081600000;BATH_DHT;Temperature;{'timestamp': 1704081600000, 'temperature': 21.224404843470733, 'humidity': 47.22264014012572}
1704081600000;B_DHT;Temperature;{'timestamp': 1704081600000, 'temperature': 20.0, 'humidity': 53.935460851232136}
1704082800000;K_DHT;Temperature;{'timestamp': 1704082800000, 'temperature': 20.337931431659314, 'humidity': 35.69631117353785}
1704082800000;LR_DHT;Temperature;{'timestamp': 1704082800000, 'temperature': 20.648694585905577, 'humidity': 46.10288980683356}
1704082800000;BATH_DHT;Temperature;{'timestamp': 1704082800000, 'temperature': 22.0, 'humidity': 41.92386368813857}
1704082800000;B_DHT;Temperature;{'timestamp': 1704082800000, 'temperature': 20.158904074415112, 'humidity': 54.84078230391114}
1704084000000;K_DHT;Temperature;{'timestamp': 1704084000000, 'temperature': 20.26746636683867, 'humidity': 37.561814550894624}
1704084000000;LR_DHT;Temperature;{'timestamp': 1704084000000, 'temperature': 19.701683023357006, 'humidity': 43.641277166131246}
1704084000000;BATH_DHT;Temperature;{'timestamp': 1704084000000, 'temperature': 21.580893010008218, 'humidity': 48.62512937417762}
1704084000000;B_DHT;Temperature;{'timestamp': 1704084000000, 'temperature': 21.93227018935847, 'humidity': 60.0}
1704084300000;LR_CAMERA;Camera;{'timestamp': 1704084300000, 'file': '/train/split10/split10_308.png'}
1704085200000;K_CAMERA;Camera;{'timestamp': 1704085200000, 'file': '/train/split1/split1_124.png'}
1704085200000;K_DHT;Temperature;{'timestamp': 1704085200000, 'temperature': 21.06287523735338, 'humidity': 36.51493385046974}
1704085200000;LR_CAMERA;Camera;{'timestamp': 1704085200000, 'file': '/train/split10/split10_102.png'}
1704085200000;LR_DHT;Temperature;{'timestamp': 1704085200000, 'temperature': 21.0, 'humidity': 33.255015928081065}
1704085200000;BATH_DHT;Temperature;{'timestamp': 1704085200000, 'temperature': 22.0, 'humidity': 52.263874154414715}
1704085200000;B_DHT;Temperature;{'timestamp': 1704085200000, 'temperature': 21.057720381326366, 'humidity': 40.248783170612356}
1704086400000;K_DHT;Temperature;{'timestamp': 1704086400000, 'temperature': 21.22338456008266, 'humidity': 39.518757663110264}
1704086400000;LR_DHT;Temperature;{'timestamp': 1704086400000, 'temperature': 20.649991581177407, 'humidity': 40.339920578656745}
