date,time,sensor_name,room,aim,msg,control
2011-06-15,00:06:32.834414,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,00:06:33.988964,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,00:15:01.957718,LS013,Ignore,Ignore,6,Control4-LightSensor
2011-06-15,00:25:01.892474,LS013,Ignore,Ignore,7,Control4-LightSensor
2011-06-15,03:37:46.585185,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:37:47.706265,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:38:11.211961,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:38:11.306285,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:38:12.265799,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:38:12.381306,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:38:13.535141,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:38:13.877151,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:38:14.924765,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:38:15.885063,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:38:17.022055,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:38:17.132255,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:38:17.750829,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:38:17.814393,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:38:22.584179,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:38:23.203947,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:38:23.271939,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:38:24.259673,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:38:28.094897,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:38:28.212060,M021,Bedroom,Bed,ON,Control4-Motion
2011-06-15,03:38:29.213955,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:38:29.328190,M021,Bedroom,Bed,OFF,Control4-Motion
2011-06-15,03:38:31.659543,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:38:33.883094,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:38:34.621729,MA020,Bedroom,Bedroom,ON,Control4-MotionArea
2011-06-15,03:38:37.316330,M019,Bedroom,Bedroom,ON,Control4-Motion
2011-06-15,03:38:41.294208,MA020,Bedroom,Bedroom,OFF,Control4-MotionArea
2011-06-15,03:38:41.374899,M019,Bedroom,Bedroom,OFF,Control4-Motion
2011-06-15,03:38:41.459318,M018,Bedroom,Hall,ON,Control4-Motion
2011-06-15,03:38:44.482092,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:38:45.133517,M018,Bedroom,Hall,OFF,Control4-Motion
2011-06-15,03:38:47.644521,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:38:48.228704,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:38:51.210312,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:38:52.371287,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:38:53.501399,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:38:58.182611,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:38:59.286097,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
2011-06-15,03:40:17.129466,MA013,Bathroom,Bathroom,ON,Control4-MotionArea
2011-06-15,03:40:18.968104,MA013,Bathroom,Bathroom,OFF,Control4-MotionArea
